cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Transfer complete."
Wed Feb  5 10:29:47 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_client"
Wed Feb  5 10:29:47 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:30:04 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_client"
Wed Feb  5 10:30:04 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE A"
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,201,215"
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:30:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:34:22 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,237,181"
Wed Feb  5 10:34:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:34:22 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:34:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:34:22 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:34:30 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:34:30 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home/crio-user/workspace/ftp_client" is the current directory"
Wed Feb  5 10:35:04 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "QUIT"
Wed Feb  5 10:35:04 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "221 Goodbye."
Wed Feb  5 10:37:11 2020 [pid 2] CONNECT: Client "192.168.8.240"
Wed Feb  5 10:37:11 2020 [pid 2] FTP response: Client "192.168.8.240", "220 (vsFTPd 3.0.3)"
Wed Feb  5 10:37:15 2020 [pid 2] FTP command: Client "192.168.8.240", "USER crio-user"
Wed Feb  5 10:37:15 2020 [pid 2] [crio-user] FTP response: Client "192.168.8.240", "331 Please specify the password."
Wed Feb  5 10:37:23 2020 [pid 2] [crio-user] FTP command: Client "192.168.8.240", "PASS <password>"
Wed Feb  5 10:37:23 2020 [pid 1] [crio-user] OK LOGIN: Client "192.168.8.240"
Wed Feb  5 10:37:23 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "230 Login successful."
Wed Feb  5 10:37:24 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "SYST"
Wed Feb  5 10:37:24 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "215 UNIX Type: L8"
Wed Feb  5 10:37:25 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:37:25 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:37:30 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE A"
Wed Feb  5 10:37:30 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:37:30 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,145,39"
Wed Feb  5 10:37:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:37:31 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:37:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:37:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:37:46 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_client"
Wed Feb  5 10:37:46 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:37:53 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,137,179"
Wed Feb  5 10:37:53 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:37:53 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:37:53 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:37:53 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:37:57 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:37:57 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home/crio-user/workspace/ftp_client" is the current directory"
Wed Feb  5 10:38:19 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:38:19 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,139,189"
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "RETR upload.txt"
Wed Feb  5 10:38:26 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Opening BINARY mode data connection for upload.txt (40 bytes)."
